Weekday,datum,Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_s_sod,M01AB_s_eod,M01AE_s_sod,M01AE_s_eod,N02BA_s_sod,N02BA_s_eod,N02BE_s_sod,N02BE_s_eod,N05B_s_sod,N05B_s_eod,N05C_s_sod,N05C_s_eod,R03_s_sod,R03_s_eod,R06_s_sod,R06_s_eod
Sunday,11/29/2015,2015,11,6.66,3.726,6,42.2,1,0,4,0,72.615,65.955,30.4746875,26.7486875,69.9035,63.9035,437.247125,395.047125,79.9375,78.9375,16.375,16.375,60.75,56.75,20.2125,20.2125
Monday,11/30/2015,2015,11,7.33,1.825,5,35.3,5,1,6,3,65.955,58.625,26.7486875,24.9236875,63.9035,58.9035,395.047125,359.747125,78.9375,73.9375,16.375,15.375,56.75,50.75,20.2125,17.2125
Tuesday,12/1/2015,2015,12,1.99,2.023,6.3,23.9,4,1,5,1,58.625,56.635,24.9236875,22.9006875,58.9035,52.6035,359.747125,335.847125,73.9375,69.9375,15.375,14.375,50.75,45.75,17.2125,16.2125
Wednesday,12/2/2015,2015,12,1,3.33,2.4,42,23,4,0,0,56.635,55.635,22.9006875,19.5706875,52.6035,50.2035,335.847125,293.847125,69.9375,46.9375,14.375,10.375,45.75,45.75,16.2125,16.2125
Thursday,12/3/2015,2015,12,4,3,5.6,56,6,1,1,1,55.635,51.635,19.5706875,16.5706875,50.2035,44.6035,293.847125,237.847125,46.9375,40.9375,10.375,9.375,45.75,44.75,16.2125,15.2125
Friday,12/4/2015,2015,12,3.33,4.759,4.7,25.6,9,3,3,1,51.635,48.305,16.5706875,11.8116875,44.6035,39.9035,237.847125,212.247125,40.9375,31.9375,9.375,6.375,44.75,41.75,15.2125,14.2125
Saturday,12/5/2015,2015,12,8,3.033,2,35.05,2,0,7,2.33,48.305,40.305,11.8116875,8.7786875,39.9035,37.9035,212.247125,177.197125,31.9375,29.9375,6.375,6.375,41.75,34.75,14.2125,11.8825
Sunday,12/6/2015,2015,12,5.67,7,3.4,60.4,5,2,3,1,95.305,89.635,64.7786875,57.7786875,92.9035,89.5035,570.197125,509.797125,111.9375,106.9375,6.375,4.375,88.75,85.75,31.8825,30.8825
Monday,12/7/2015,2015,12,3,2.099,2.2,26.5,6,1,11,6,89.635,86.635,57.7786875,55.6796875,89.5035,87.3035,509.797125,483.297125,106.9375,100.9375,4.375,3.375,85.75,74.75,30.8825,24.8825
Tuesday,12/8/2015,2015,12,2,6.34,2,41.325,8,0,0,0,86.635,84.635,55.6796875,49.3396875,87.3035,85.3035,483.297125,441.972125,100.9375,92.9375,3.375,3.375,74.75,74.75,24.8825,24.8825
Wednesday,12/9/2015,2015,12,3.34,3.472,7,41.262,16,0,3,1,84.635,81.295,49.3396875,45.8676875,85.3035,78.3035,441.972125,400.710125,92.9375,76.9375,3.375,3.375,74.75,71.75,24.8825,23.8825
Thursday,12/10/2015,2015,12,11.66,10.69,16,31.9,9,0,9,2.1,81.295,69.635,45.8676875,35.1776875,78.3035,62.3035,400.710125,368.810125,76.9375,67.9375,3.375,3.375,71.75,62.75,23.8825,21.7825
Friday,12/11/2015,2015,12,5.84,6.165,3,22.7,9,0,16,1,69.635,63.795,35.1776875,29.0126875,62.3035,59.3035,368.810125,346.110125,67.9375,58.9375,3.375,3.375,62.75,46.75,21.7825,20.7825
Saturday,12/12/2015,2015,12,6.34,3.2,3,42.2,5,2,6,1,63.795,57.455,29.0126875,25.8126875,59.3035,56.3035,346.110125,303.910125,58.9375,53.9375,3.375,1.375,46.75,40.75,20.7825,19.7825
Sunday,12/13/2015,2015,12,9.33,4.32,7,29,5,0,27,0,127.455,118.125,63.8126875,59.4926875,56.3035,49.3035,303.910125,274.910125,129.9375,124.9375,7.375,7.375,164.75,137.75,19.7825,19.7825
Monday,12/14/2015,2015,12,5,3,6.6,37.4,11,0,21,1,118.125,113.125,59.4926875,56.4926875,49.3035,42.7035,274.910125,237.510125,124.9375,113.9375,7.375,7.375,137.75,116.75,19.7825,18.7825
Tuesday,12/15/2015,2015,12,4.99,2,5,42,3,1,2,1,113.125,108.135,56.4926875,54.4926875,42.7035,37.7035,237.510125,195.510125,113.9375,110.9375,7.375,6.375,116.75,114.75,18.7825,17.7825
Wednesday,12/16/2015,2015,12,6.67,4,4,42,11,1,11,0,108.135,101.465,54.4926875,50.4926875,37.7035,33.7035,195.510125,153.510125,110.9375,99.9375,6.375,5.375,114.75,103.75,17.7825,17.7825
Thursday,12/17/2015,2015,12,9,3.01,3,25,7,0,0,2,101.465,92.465,50.4926875,47.4826875,33.7035,30.7035,153.510125,128.510125,99.9375,92.9375,5.375,5.375,103.75,103.75,17.7825,15.7825
Friday,12/18/2015,2015,12,4.33,8.901,4.3,27.2,12,4,2,1,92.465,88.135,47.4826875,38.5816875,30.7035,26.4035,128.510125,101.310125,92.9375,80.9375,5.375,1.375,103.75,101.75,15.7825,14.7825
Saturday,12/19/2015,2015,12,0,0,0,0,0,0,0,0,88.135,88.135,38.5816875,38.5816875,26.4035,26.4035,101.310125,101.310125,80.9375,80.9375,1.375,1.375,101.75,101.75,14.7825,14.7825
Sunday,12/20/2015,2015,12,3,3.474,2.2,43,3,0,16,1,88.135,85.135,38.5816875,35.1076875,57.4035,55.2035,444.310125,401.310125,80.9375,77.9375,7.375,7.375,101.75,85.75,14.7825,13.7825
Monday,12/21/2015,2015,12,5,6.34,2,53.6,14,0,6,0.4,85.135,80.135,35.1076875,28.7676875,55.2035,53.2035,401.310125,347.710125,77.9375,63.9375,7.375,7.375,85.75,79.75,13.7825,13.3825
Tuesday,12/22/2015,2015,12,5.66,0,5,48,6,0,13,1,80.135,74.475,28.7676875,28.7676875,53.2035,48.2035,347.710125,299.710125,63.9375,57.9375,7.375,7.375,79.75,66.75,13.3825,12.3825
Wednesday,12/23/2015,2015,12,3.33,4.01,2.3,28.8,3,0,0,0,74.475,71.145,28.7676875,24.7576875,48.2035,45.9035,299.710125,270.910125,57.9375,54.9375,7.375,7.375,66.75,66.75,12.3825,12.3825
Thursday,12/24/2015,2015,12,7.33,3.396,5,28.3,5,0,16,0,71.145,63.815,24.7576875,21.3616875,45.9035,40.9035,270.910125,242.610125,54.9375,49.9375,7.375,7.375,66.75,50.75,12.3825,12.3825
Friday,12/25/2015,2015,12,0.66,4.66,2,20.662,28,2,1,1,63.815,63.155,21.3616875,16.7016875,40.9035,38.9035,242.610125,221.948125,49.9375,21.9375,7.375,5.375,50.75,49.75,12.3825,11.3825
Saturday,12/26/2015,2015,12,4.67,1.66,5,87.2,15,1,0,4.3,63.155,58.485,16.7016875,15.0416875,38.9035,33.9035,221.948125,134.748125,21.9375,6.9375,5.375,4.375,49.75,49.75,11.3825,7.0825
Sunday,12/27/2015,2015,12,5.33,6.792,5.2,63.5,4,0,14,4.6,58.485,53.155,65.0416875,58.2496875,82.9035,77.7035,741.748125,678.248125,162.9375,158.9375,13.375,13.375,128.75,114.75,32.0825,27.4825
Monday,12/28/2015,2015,12,4,5.099,9.2,61.5,18,3,26,1,53.155,49.155,58.2496875,53.1506875,77.7035,68.5035,678.248125,616.748125,158.9375,140.9375,13.375,10.375,114.75,88.75,27.4825,26.4825
Tuesday,12/29/2015,2015,12,10.67,2.33,2,71.6,9,0,2,3,49.155,38.485,53.1506875,50.8206875,68.5035,66.5035,616.748125,545.148125,140.9375,131.9375,10.375,10.375,88.75,86.75,26.4825,23.4825
Wednesday,12/30/2015,2015,12,6.66,7.089,2,56.4,12,0,4,2,38.485,31.825,50.8206875,43.7316875,66.5035,64.5035,545.148125,488.748125,131.9375,119.9375,10.375,10.375,86.75,82.75,23.4825,21.4825
Thursday,12/31/2015,2015,12,7.66,6.099,7.6,44.35,18,0,6,1,31.825,24.165,43.7316875,37.6326875,64.5035,56.9035,488.748125,444.398125,119.9375,101.9375,10.375,10.375,82.75,76.75,21.4825,20.4825
Friday,1/1/2016,2016,1,0,0,0,0,0,0,0,0,24.165,24.165,37.6326875,37.6326875,56.9035,56.9035,444.398125,444.398125,101.9375,101.9375,10.375,10.375,76.75,76.75,20.4825,20.4825
Saturday,1/2/2016,2016,1,0.34,1.02,1,51.2,0,1,5,5,24.165,23.825,37.6326875,36.6126875,56.9035,55.9035,444.398125,393.198125,101.9375,101.9375,10.375,9.375,76.75,71.75,20.4825,15.4825
Sunday,1/3/2016,2016,1,4,4,2.5,56.1,1,0,5,1,58.825,54.825,36.6126875,32.6126875,55.9035,53.4035,393.198125,337.098125,101.9375,100.9375,9.375,9.375,71.75,66.75,15.4825,14.4825
Monday,1/4/2016,2016,1,7.33,5.99,6,46.6,6,0,12,1,54.825,47.495,32.6126875,26.6226875,53.4035,47.4035,337.098125,290.498125,100.9375,94.9375,9.375,9.375,66.75,54.75,14.4825,13.4825
Tuesday,1/5/2016,2016,1,5.33,5.99,4.6,38.6,15,0,5,1,47.495,42.165,26.6226875,20.6326875,47.4035,42.8035,290.498125,251.898125,94.9375,79.9375,9.375,9.375,54.75,49.75,13.4825,12.4825
Wednesday,1/6/2016,2016,1,6.66,3,6,61.9,2,0,12,2,42.165,35.505,20.6326875,17.6326875,42.8035,36.8035,251.898125,189.998125,79.9375,77.9375,9.375,9.375,49.75,37.75,12.4825,10.4825
Thursday,1/7/2016,2016,1,0,0,0,0,0,0,0,0,35.505,35.505,17.6326875,17.6326875,36.8035,36.8035,189.998125,189.998125,77.9375,77.9375,9.375,9.375,37.75,37.75,10.4825,10.4825
Friday,1/8/2016,2016,1,8,3.463,7.7,39.2,8,3,2,2,35.505,27.505,17.6326875,14.1696875,36.8035,29.1035,189.998125,150.798125,77.9375,69.9375,9.375,6.375,37.75,35.75,10.4825,8.4825
Saturday,1/9/2016,2016,1,7.33,2.66,5,88.3,9,0,3,3,27.505,20.175,14.1696875,11.5096875,29.1035,24.1035,150.798125,62.498125,69.9375,60.9375,6.375,6.375,35.75,32.75,8.4825,5.4825
Sunday,1/10/2016,2016,1,7,4.033,12,67.6,8,1,1,0,102.175,95.175,49.5096875,45.4766875,106.1035,94.1035,710.498125,642.898125,186.9375,178.9375,6.375,5.375,32.75,31.75,24.4825,24.4825
Monday,1/11/2016,2016,1,9.34,5.66,7,64.9,18,0,0,4,95.175,85.835,45.4766875,39.8166875,94.1035,87.1035,642.898125,577.998125,178.9375,160.9375,5.375,5.375,31.75,31.75,24.4825,20.4825
Tuesday,1/12/2016,2016,1,12,3.132,12,61.35,8,0,0,0,85.835,73.835,39.8166875,36.6846875,87.1035,75.1035,577.998125,516.648125,160.9375,152.9375,5.375,5.375,31.75,31.75,20.4825,20.4825
Wednesday,1/13/2016,2016,1,9,1.66,5,41.7,15,0,1,2,73.835,64.835,36.6846875,35.0246875,75.1035,70.1035,516.648125,474.948125,152.9375,137.9375,5.375,5.375,31.75,30.75,20.4825,18.4825
Thursday,1/14/2016,2016,1,2,5.155,6,69,18,0,8,2,64.835,62.835,35.0246875,29.8696875,70.1035,64.1035,474.948125,405.948125,137.9375,119.9375,5.375,5.375,30.75,22.75,18.4825,16.4825
Friday,1/15/2016,2016,1,8.98,4.66,10.6,18.1,8,0,10,2,62.835,53.855,29.8696875,25.2096875,64.1035,53.5035,405.948125,387.848125,119.9375,111.9375,5.375,5.375,22.75,12.75,16.4825,14.4825
Saturday,1/16/2016,2016,1,3.34,5.34,6,63.6,11,0,2,1,53.855,50.515,25.2096875,19.8696875,53.5035,47.5035,387.848125,324.248125,111.9375,100.9375,5.375,5.375,12.75,10.75,14.4825,13.4825
Sunday,1/17/2016,2016,1,7.01,1.604,3.9,46.6,4,0,0,1,50.515,43.505,56.8696875,55.2656875,47.5035,43.6035,810.248125,763.648125,100.9375,96.9375,18.375,18.375,55.75,55.75,37.4825,36.4825
Monday,1/18/2016,2016,1,3.5,2.99,4.3,62.8,3,2,9,2,43.505,40.005,55.2656875,52.2756875,43.6035,39.3035,763.648125,700.848125,96.9375,93.9375,18.375,16.375,55.75,46.75,36.4825,34.4825
Tuesday,1/19/2016,2016,1,6,5.66,6,49.8,7,0,0,3,40.005,34.005,52.2756875,46.6156875,39.3035,33.3035,700.848125,651.048125,93.9375,86.9375,16.375,16.375,46.75,46.75,34.4825,31.4825
Wednesday,1/20/2016,2016,1,2.32,3.363,3,15.1,29,3,3,2,34.005,31.685,46.6156875,43.2526875,33.3035,30.3035,651.048125,635.948125,86.9375,57.9375,16.375,13.375,46.75,43.75,31.4825,29.4825
Thursday,1/21/2016,2016,1,5,1.43,1,68.4,8,4,6,5,31.685,26.685,43.2526875,41.8226875,30.3035,29.3035,635.948125,567.548125,57.9375,49.9375,13.375,9.375,43.75,37.75,29.4825,24.4825
Friday,1/22/2016,2016,1,0.83,7.678,7,39.5,11,0,10,0,26.685,25.855,41.8226875,34.1446875,29.3035,22.3035,567.548125,528.048125,49.9375,38.9375,9.375,9.375,37.75,27.75,24.4825,24.4825
Saturday,1/23/2016,2016,1,6.33,6.132,7.1,36.8,4,0,6,2,25.855,19.525,34.1446875,28.0126875,22.3035,15.2035,528.048125,491.248125,38.9375,34.9375,9.375,9.375,27.75,21.75,24.4825,22.4825
Sunday,1/24/2016,2016,1,4,6.122,11.3,48.1,3,0,12,3,77.525,73.525,87.0126875,80.8906875,82.2035,70.9035,491.248125,443.148125,125.9375,122.9375,19.375,19.375,114.75,102.75,22.4825,19.4825
Monday,1/25/2016,2016,1,10.33,4.26,4,46.95,12,2,10,1.5,73.525,63.195,80.8906875,76.6306875,70.9035,66.9035,443.148125,396.198125,122.9375,110.9375,19.375,17.375,102.75,92.75,19.4825,17.9825
Tuesday,1/26/2016,2016,1,5.68,4.069,8,30.3,9,0,15,0,63.195,57.515,76.6306875,72.5616875,66.9035,58.9035,396.198125,365.898125,110.9375,101.9375,17.375,17.375,92.75,77.75,17.9825,17.9825
Wednesday,1/27/2016,2016,1,4.34,4.429,3.4,30.062,18,5,5,2,57.515,53.175,72.5616875,68.1326875,58.9035,55.5035,365.898125,335.836125,101.9375,83.9375,17.375,12.375,77.75,72.75,17.9825,15.9825
Thursday,1/28/2016,2016,1,7.33,6.66,4.4,33,4,0,4,3,53.175,45.845,68.1326875,61.4726875,55.5035,51.1035,335.836125,302.836125,83.9375,79.9375,12.375,12.375,72.75,68.75,15.9825,12.9825
Friday,1/29/2016,2016,1,5,8.67,8.6,74.4,3,1,17,2,45.845,40.845,61.4726875,52.8026875,51.1035,42.5035,302.836125,228.436125,79.9375,76.9375,12.375,11.375,68.75,51.75,12.9825,10.9825
Saturday,1/30/2016,2016,1,9,4.429,5.3,47.462,3,2,5,2,40.845,31.845,52.8026875,48.3736875,42.5035,37.2035,228.436125,180.974125,76.9375,73.9375,11.375,9.375,51.75,46.75,10.9825,8.9825
Sunday,1/31/2016,2016,1,4.33,5.143,3.8,78.9,3,0,6,2,114.845,110.515,48.3736875,43.2306875,99.2035,95.4035,668.974125,590.074125,73.9375,70.9375,9.375,9.375,46.75,40.75,26.9825,24.9825
Monday,2/1/2016,2016,2,6.34,5,7.1,18,7,0,6,1,110.515,104.175,43.2306875,38.2306875,95.4035,88.3035,590.074125,572.074125,70.9375,63.9375,9.375,9.375,40.75,34.75,24.9825,23.9825
Tuesday,2/2/2016,2016,2,14.33,4.878,1.3,39,6,0,0,1,104.175,89.845,38.2306875,33.3526875,88.3035,87.0035,572.074125,533.074125,63.9375,57.9375,9.375,9.375,34.75,34.75,23.9825,22.9825
Wednesday,2/3/2016,2016,2,8,6.693,11.5,39.062,11,5,0,0,89.845,81.845,33.3526875,26.6596875,87.0035,75.5035,533.074125,494.012125,57.9375,46.9375,9.375,4.375,34.75,34.75,22.9825,22.9825
Thursday,2/4/2016,2016,2,8.34,4,4.2,28.8,5,0,4,4,81.845,73.505,26.6596875,22.6596875,75.5035,71.3035,494.012125,465.212125,46.9375,41.9375,4.375,4.375,34.75,30.75,22.9825,18.9825
Friday,2/5/2016,2016,2,5.66,2,3,51.6,7,0,3,1,73.505,67.845,22.6596875,20.6596875,71.3035,68.3035,465.212125,413.612125,41.9375,34.9375,4.375,4.375,30.75,27.75,18.9825,17.9825
Saturday,2/6/2016,2016,2,5.33,10.33,3,57.162,1,0,11,2,67.845,62.515,20.6596875,10.3296875,68.3035,65.3035,413.612125,356.450125,34.9375,33.9375,4.375,4.375,27.75,16.75,17.9825,15.9825
Sunday,2/7/2016,2016,2,3.66,6.056,4.5,88.2,2,0,13,1,62.515,58.855,66.3296875,60.2736875,65.3035,60.8035,873.450125,785.250125,138.9375,136.9375,8.375,8.375,118.75,105.75,34.9825,33.9825
Monday,2/8/2016,2016,2,6.33,6.99,5.5,28.038,5,0,23,1,58.855,52.525,60.2736875,53.2836875,60.8035,55.3035,785.250125,757.212125,136.9375,131.9375,8.375,8.375,105.75,82.75,33.9825,32.9825
Tuesday,2/9/2016,2016,2,7,3.33,4.4,47.7,16,2,1,2,52.525,45.525,53.2836875,49.9536875,55.3035,50.9035,757.212125,709.512125,131.9375,115.9375,8.375,6.375,82.75,81.75,32.9825,30.9825
Wednesday,2/10/2016,2016,2,4.34,4.703,7.2,34.1,29,0,4,2,45.525,41.185,49.9536875,45.2506875,50.9035,43.7035,709.512125,675.412125,115.9375,86.9375,6.375,6.375,81.75,77.75,30.9825,28.9825
Thursday,2/11/2016,2016,2,1.66,4.156,2.7,38.1,10,1,13,4,41.185,39.525,45.2506875,41.0946875,43.7035,41.0035,675.412125,637.312125,86.9375,76.9375,6.375,5.375,77.75,64.75,28.9825,24.9825
Friday,2/12/2016,2016,2,5.99,6.429,8.5,60.675,4,0,20,1,39.525,33.535,41.0946875,34.6656875,41.0035,32.5035,637.312125,576.637125,76.9375,72.9375,5.375,5.375,64.75,44.75,24.9825,23.9825
Saturday,2/13/2016,2016,2,2.67,3.67,5,42.4,2,0,10,2,33.535,30.865,34.6656875,30.9956875,32.5035,27.5035,576.637125,534.237125,72.9375,70.9375,5.375,5.375,44.75,34.75,23.9825,21.9825
Sunday,2/14/2016,2016,2,5.84,7.34,3.8,43.6,5,0,7,4,78.865,73.025,76.9956875,69.6556875,77.5035,73.7035,534.237125,490.637125,70.9375,65.9375,5.375,5.375,118.75,111.75,21.9825,17.9825
Monday,2/15/2016,2016,2,5.33,5.33,5.3,52.2,6,0,0,0,73.025,67.695,69.6556875,64.3256875,73.7035,68.4035,490.637125,438.437125,65.9375,59.9375,5.375,5.375,111.75,111.75,17.9825,17.9825
Tuesday,2/16/2016,2016,2,7.33,2.32,3,29,3,2,9,3,67.695,60.365,64.3256875,62.0056875,68.4035,65.4035,438.437125,409.437125,59.9375,56.9375,5.375,3.375,111.75,102.75,17.9825,14.9825
Wednesday,2/17/2016,2016,2,3,5,4,26.6,12,1,1,0,60.365,57.365,62.0056875,57.0056875,65.4035,61.4035,409.437125,382.837125,56.9375,44.9375,3.375,2.375,102.75,101.75,14.9825,14.9825
Thursday,2/18/2016,2016,2,2.34,1,4.3,43.85,3,0,9,1,57.365,55.025,57.0056875,56.0056875,61.4035,57.1035,382.837125,338.987125,44.9375,41.9375,2.375,2.375,101.75,92.75,14.9825,13.9825
Friday,2/19/2016,2016,2,4,1.67,4,28.7,18,2,26,1,55.025,51.025,56.0056875,54.3356875,57.1035,53.1035,338.987125,310.287125,41.9375,23.9375,2.375,0.375,92.75,66.75,13.9825,12.9825
Saturday,2/20/2016,2016,2,10.33,4.122,4,36.9,5,0,8,3,51.025,40.695,54.3356875,50.2136875,53.1035,49.1035,310.287125,273.387125,23.9375,18.9375,0.375,0.375,66.75,58.75,12.9825,9.9825
Sunday,2/21/2016,2016,2,6.34,4,0,55.7,5,2,7,4,103.695,97.355,50.2136875,46.2136875,49.1035,49.1035,707.387125,651.687125,133.9375,128.9375,10.375,8.375,173.75,166.75,37.9825,33.9825
Monday,2/22/2016,2016,2,3,5.32,3,51.125,10,0,12,4,97.355,94.355,46.2136875,40.8936875,49.1035,46.1035,651.687125,600.562125,128.9375,118.9375,8.375,8.375,166.75,154.75,33.9825,29.9825
Tuesday,2/23/2016,2016,2,3,2.33,2.6,41.3,11,0,15,3,94.355,91.355,40.8936875,38.5636875,46.1035,43.5035,600.562125,559.262125,118.9375,107.9375,8.375,8.375,154.75,139.75,29.9825,26.9825
Wednesday,2/24/2016,2016,2,7.66,2.33,2.1,35,6,2,5,1,91.355,83.695,38.5636875,36.2336875,43.5035,41.4035,559.262125,524.262125,107.9375,101.9375,8.375,6.375,139.75,134.75,26.9825,25.9825
Thursday,2/25/2016,2016,2,7.99,3.99,5,41,22,1,4,3,83.695,75.705,36.2336875,32.2436875,41.4035,36.4035,524.262125,483.262125,101.9375,79.9375,6.375,5.375,134.75,130.75,25.9825,22.9825
Friday,2/26/2016,2016,2,5,5.848,4.5,28.55,6,2,0,1,75.705,70.705,32.2436875,26.3956875,36.4035,31.9035,483.262125,454.712125,79.9375,73.9375,5.375,3.375,130.75,130.75,22.9825,21.9825
Saturday,2/27/2016,2016,2,8,7,6.6,25.8,3,0,5,2,70.705,62.705,26.3956875,19.3956875,31.9035,25.3035,454.712125,428.912125,73.9375,70.9375,3.375,3.375,130.75,125.75,21.9825,19.9825
Sunday,2/28/2016,2016,2,8,4.033,10.1,66.5,6,0,26,5,62.705,54.705,80.3956875,76.3626875,81.3035,71.2035,428.912125,362.412125,154.9375,148.9375,12.375,12.375,125.75,99.75,19.9825,14.9825
Monday,2/29/2016,2016,2,7,7.66,4,46.2,13,0,3,1,54.705,47.705,76.3626875,68.7026875,71.2035,67.2035,362.412125,316.212125,148.9375,135.9375,12.375,12.375,99.75,96.75,14.9825,13.9825
Tuesday,3/1/2016,2016,3,10,4,2.2,31,11,2,0,2,47.705,37.705,68.7026875,64.7026875,67.2035,65.0035,316.212125,285.212125,135.9375,124.9375,12.375,10.375,96.75,96.75,13.9825,11.9825
Wednesday,3/2/2016,2016,3,3.33,10.396,5.3,21.3,15,2,1,0,37.705,34.375,64.7026875,54.3066875,65.0035,59.7035,285.212125,263.912125,124.9375,109.9375,10.375,8.375,96.75,95.75,11.9825,11.9825
Thursday,3/3/2016,2016,3,2.83,2,5,55.8,2,0,9,4,34.375,31.545,54.3066875,52.3066875,59.7035,54.7035,263.912125,208.112125,109.9375,107.9375,8.375,8.375,95.75,86.75,11.9825,7.9825
Friday,3/4/2016,2016,3,5,0.99,4.4,26.6,3,0,0,0,31.545,26.545,52.3066875,51.3166875,54.7035,50.3035,208.112125,181.512125,107.9375,104.9375,8.375,8.375,86.75,86.75,7.9825,7.9825
Saturday,3/5/2016,2016,3,5,4.891,8,38,9,0,10,5,26.545,21.545,51.3166875,46.4256875,50.3035,42.3035,181.512125,143.512125,104.9375,95.9375,8.375,8.375,86.75,76.75,7.9825,2.9825
Sunday,3/6/2016,2016,3,5,8.145,4.9,79.9,2,0,5,7,73.545,68.545,112.4256875,104.2806875,42.3035,37.4035,558.512125,478.612125,95.9375,93.9375,8.375,8.375,76.75,71.75,35.9825,28.9825
Monday,3/7/2016,2016,3,5.33,7.34,4,43.5,3,1,6,1,68.545,63.215,104.2806875,96.9406875,37.4035,33.4035,478.612125,435.112125,93.9375,90.9375,8.375,7.375,71.75,65.75,28.9825,27.9825
Tuesday,3/8/2016,2016,3,4,6.66,3,44,7,0,3,3,63.215,59.215,96.9406875,90.2806875,33.4035,30.4035,435.112125,391.112125,90.9375,83.9375,7.375,7.375,65.75,62.75,27.9825,24.9825
Wednesday,3/9/2016,2016,3,4.34,5.67,7,21.8,7,1,6,4,59.215,54.875,90.2806875,84.6106875,30.4035,23.4035,391.112125,369.312125,83.9375,76.9375,7.375,6.375,62.75,56.75,24.9825,20.9825
Thursday,3/10/2016,2016,3,6.33,10.33,2,23.4,8,0,2,2,54.875,48.545,84.6106875,74.2806875,23.4035,21.4035,369.312125,345.912125,76.9375,68.9375,6.375,6.375,56.75,54.75,20.9825,18.9825
Friday,3/11/2016,2016,3,3.33,4.363,6.2,22,8,0,18,1,48.545,45.215,74.2806875,69.9176875,21.4035,15.2035,345.912125,323.912125,68.9375,60.9375,6.375,6.375,54.75,36.75,18.9825,17.9825
Saturday,3/12/2016,2016,3,3,6.373,1.4,41.8,4,0,23,1,45.215,42.215,69.9176875,63.5446875,15.2035,13.8035,323.912125,282.112125,60.9375,56.9375,6.375,6.375,36.75,13.75,17.9825,16.9825
Sunday,3/13/2016,2016,3,2.5,4.134,1.5,59.2,4,0,4,0.34,42.215,39.715,63.5446875,59.4106875,60.8035,59.3035,702.112125,642.912125,147.9375,143.9375,6.375,6.375,160.75,156.75,39.9825,39.6425
Monday,3/14/2016,2016,3,4.33,3.32,10,35.9,12,0,23,1,39.715,35.385,59.4106875,56.0906875,59.3035,49.3035,642.912125,607.012125,143.9375,131.9375,6.375,6.375,156.75,133.75,39.6425,38.6425
Tuesday,3/15/2016,2016,3,5.33,3.32,2,24,7,0,18,3,35.385,30.055,56.0906875,52.7706875,49.3035,47.3035,607.012125,583.012125,131.9375,124.9375,6.375,6.375,133.75,115.75,38.6425,35.6425
Wednesday,3/16/2016,2016,3,5.33,13.34,5.7,37.4,16,0,4,4,30.055,24.725,52.7706875,39.4306875,47.3035,41.6035,583.012125,545.612125,124.9375,108.9375,6.375,6.375,115.75,111.75,35.6425,31.6425
Thursday,3/17/2016,2016,3,5.66,5.396,5,60.2,10,0,8,5,24.725,19.065,39.4306875,34.0346875,41.6035,36.6035,545.612125,485.412125,108.9375,98.9375,6.375,6.375,111.75,103.75,31.6425,26.6425
Friday,3/18/2016,2016,3,3.34,5.353,5.2,25.462,15,2,8,3,19.065,15.725,34.0346875,28.6816875,36.6035,31.4035,485.412125,459.950125,98.9375,83.9375,6.375,4.375,103.75,95.75,26.6425,23.6425
Saturday,3/19/2016,2016,3,10.66,8.33,2.8,19.5,6,1,5,5,15.725,5.065,28.6816875,20.3516875,31.4035,28.6035,459.950125,440.450125,83.9375,77.9375,4.375,3.375,95.75,90.75,23.6425,18.6425
Sunday,3/20/2016,2016,3,7.99,9.693,2.2,42.2,1,0,15,5,65.065,57.075,74.3516875,64.6586875,73.6035,71.4035,440.450125,398.250125,183.9375,182.9375,12.375,12.375,204.75,189.75,58.6425,53.6425
Monday,3/21/2016,2016,3,5,8.056,6,45.7,11,0,36,7,57.075,52.075,64.6586875,56.6026875,71.4035,65.4035,398.250125,352.550125,182.9375,171.9375,12.375,12.375,189.75,153.75,53.6425,46.6425
Tuesday,3/22/2016,2016,3,2.33,0,5,42.188,12,2,4,2,52.075,49.745,56.6026875,56.6026875,65.4035,60.4035,352.550125,310.362125,171.9375,159.9375,12.375,10.375,153.75,149.75,46.6425,44.6425
Wednesday,3/23/2016,2016,3,4,3,6,24.25,22,1,0,3,49.745,45.745,56.6026875,53.6026875,60.4035,54.4035,310.362125,286.112125,159.9375,137.9375,10.375,9.375,149.75,149.75,44.6425,41.6425
Thursday,3/24/2016,2016,3,6.84,2,3,32,4,0,8,2,45.745,38.905,53.6026875,51.6026875,54.4035,51.4035,286.112125,254.112125,137.9375,133.9375,9.375,9.375,149.75,141.75,41.6425,39.6425
Friday,3/25/2016,2016,3,7,7.35,4.2,42.8,8,0,3,3,38.905,31.905,51.6026875,44.2526875,51.4035,47.2035,254.112125,211.312125,133.9375,125.9375,9.375,9.375,141.75,138.75,39.6425,36.6425
Saturday,3/26/2016,2016,3,2.5,0.66,7.5,33.25,4,0,0,5,31.905,29.405,44.2526875,43.5926875,47.2035,39.7035,211.312125,178.062125,125.9375,121.9375,9.375,9.375,138.75,138.75,36.6425,31.6425
Sunday,3/27/2016,2016,3,7.83,5.449,13.7,63.3,11,1,1,4,82.405,74.575,43.5926875,38.1436875,99.7035,86.0035,558.062125,494.762125,121.9375,110.9375,9.375,8.375,138.75,137.75,72.6425,68.6425
